Title,Price,Location,URL
Wax Surf shortboard Surfboard 5’8”,150,"Cambria, CA",https://www.facebook.com//marketplace/item/423905257206222/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Slater designs sci fi,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/473355111837595/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Custom 6’2 Surfboard,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1060076261953521/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
7’ 8” Paragon Mini Log Surfboard,150,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/371064149338741/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Wavestorm 7ft surfboard,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/346077665207594/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Al Merrick 6’ 3’ shortboard,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/491226493300515/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Wavestorm 7ft surfboard,150,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/465044426290360/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard - Twin fin,175,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/3360699054236257/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surf Prescription custom Surfboard,175,"Los Osos, CA",https://www.facebook.com//marketplace/item/451195867728239/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"Xanadu Starr Surfboard 5'11"" 25L - $250 (San Luis Obispo)",180,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1116296042754502/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
5’ 8” Quad Fin Surfboard,180,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/3720528868267990/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Progressive surfboard,180,"Nipomo, CA",https://www.facebook.com//marketplace/item/1019939953470875/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surf Board •McCloud ~ Mad Max,199,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/6990802657689451/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Hybrid surfboard,200,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/482679894349390/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
3 Shortboard Surfboards,200,"Morro Bay, CA",https://www.facebook.com//marketplace/item/390489190715010/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
9’ Surfboard,200,"Los Osos, CA",https://www.facebook.com//marketplace/item/478007871843833/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"Al Merrick Surfboard (6'6"" x 19"")",200,"Templeton, CA",https://www.facebook.com//marketplace/item/7615500428551561/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Cole 10' Longboard / Surfboard,200,"Cambria, CA",https://www.facebook.com//marketplace/item/930434812171686/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
5’6 Jah Mod surfboard,200,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/883910317081830/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mick Fanning Eugenie Surf Board 5’10”,200,"Goleta, CA",https://www.facebook.com//marketplace/item/294336309972295/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Sicre Surfboard - squash tail,200,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/704695975123628/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Channel Islands Surfboards,200,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/451882550892866/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
CHANNEL ISLANDS SURFBOARD (Fever),200,"Santa Barbara, CA",https://www.facebook.com//marketplace/item/1645543679578152/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard,200,"Pismo Beach, CA",https://www.facebook.com//marketplace/item/1911036189309664/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
9ft 6 longboards surfboards,200,"Torrance, CA",https://www.facebook.com//marketplace/item/797794872344056/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
